goal_dist,goal_sin,goal_cos,self_vx,self_vy,d1_dist,d1_sin,d1_cos,d1_vx,d1_vy,d2_dist,d2_sin,d2_cos,d2_vx,d2_vy,action_left,action_right,action_shoot
2.124,0.191,0.982,0.295,-0.052,0.321,0.698,0.716,-0.131,0.132,1.223,0.213,0.977,0.061,0.05,15.0,15.0,0
2.106,0.196,0.981,0.295,-0.053,0.312,0.729,0.684,-0.282,0.063,1.228,0.218,0.976,0.061,0.048,15.0,15.0,0
2.087,0.2,0.98,0.295,-0.054,0.298,0.762,0.648,-0.32,0.027,1.232,0.223,0.975,0.061,0.047,15.0,15.0,0
2.068,0.204,0.979,0.295,-0.055,0.283,0.794,0.609,-0.331,-0.004,1.236,0.228,0.974,0.061,0.045,15.0,15.0,0
2.049,0.21,0.978,0.295,-0.056,0.266,0.824,0.566,-0.33,-0.034,1.24,0.233,0.972,0.061,0.043,15.0,15.0,0
2.031,0.215,0.977,0.295,-0.057,0.25,0.853,0.522,-0.321,-0.062,1.244,0.238,0.971,0.061,0.041,15.0,15.0,0
2.012,0.22,0.976,0.294,-0.058,0.233,0.879,0.477,-0.305,-0.083,1.248,0.243,0.97,0.06,0.039,15.0,15.0,0
1.993,0.223,0.975,0.294,-0.058,0.217,0.902,0.432,-0.285,-0.101,1.252,0.245,0.969,0.059,0.036,15.0,15.0,0
1.975,0.227,0.974,0.294,-0.058,0.201,0.923,0.385,-0.263,-0.114,1.255,0.249,0.968,0.029,0.031,15.0,15.0,0
1.956,0.232,0.973,0.294,-0.059,0.186,0.941,0.338,-0.24,-0.123,1.256,0.253,0.967,-0.016,0.029,15.0,15.0,0
1.938,0.235,0.972,0.294,-0.06,0.172,0.957,0.291,-0.217,-0.128,1.253,0.256,0.967,-0.058,0.027,15.0,15.0,0
1.919,0.24,0.971,0.294,-0.06,0.158,0.97,0.244,-0.194,-0.13,1.249,0.259,0.966,-0.089,0.026,15.0,15.0,0
1.9,0.243,0.97,0.294,-0.061,0.146,0.98,0.197,-0.171,-0.13,1.243,0.262,0.965,-0.097,0.021,15.0,15.0,0
1.882,0.247,0.969,0.294,-0.061,0.135,0.988,0.152,-0.15,-0.128,1.237,0.264,0.964,-0.099,0.014,15.0,15.0,0
1.866,0.36,0.933,0.285,-0.095,0.125,1.0,0.025,-0.067,-0.147,1.228,0.377,0.926,-0.235,0.076,15.0,15.0,0
1.852,0.485,0.875,0.27,-0.131,0.119,0.997,-0.082,-0.028,-0.109,1.216,0.503,0.865,-0.262,0.126,15.0,15.0,0
1.838,0.558,0.83,0.258,-0.152,0.114,0.991,-0.136,-0.004,-0.082,1.202,0.577,0.817,-0.257,0.151,15.0,15.0,0
1.823,0.604,0.797,0.25,-0.165,0.111,0.987,-0.159,0.012,-0.063,1.19,0.623,0.782,-0.21,0.098,15.0,15.0,0
1.809,0.635,0.772,0.245,-0.174,0.109,0.987,-0.162,0.025,-0.047,1.177,0.654,0.756,-0.208,0.084,15.0,15.0,0
1.795,0.653,0.757,0.242,-0.178,0.108,0.99,-0.145,0.035,-0.037,1.164,0.672,0.74,-0.224,0.097,15.0,15.0,0
1.781,0.664,0.748,0.241,-0.179,0.107,0.993,-0.117,0.041,-0.029,1.151,0.683,0.731,-0.235,0.144,15.0,15.0,0
1.767,0.67,0.743,0.24,-0.18,0.107,0.996,-0.087,0.046,-0.024,1.137,0.688,0.725,-0.228,0.095,15.0,15.0,0
1.753,0.675,0.738,0.24,-0.18,0.108,0.998,-0.055,0.05,-0.02,1.123,0.693,0.721,-0.227,0.077,15.0,15.0,0
1.739,0.68,0.733,0.24,-0.18,0.109,1.0,-0.024,0.054,-0.016,1.11,0.699,0.715,-0.235,0.117,15.0,15.0,0
1.725,0.686,0.728,0.24,-0.18,0.11,1.0,0.007,0.057,-0.012,1.096,0.704,0.71,-0.23,0.094,15.0,15.0,0
1.717,0.689,0.725,0.04,-0.03,0.113,0.993,0.119,0.26,-0.158,1.088,0.706,0.708,-0.038,0.002,2.52,2.52,0
1.719,0.61,0.793,-0.166,0.099,0.12,0.912,0.409,0.468,-0.283,1.09,0.628,0.778,0.165,-0.104,-13.82,-5.5,0
1.732,0.411,0.911,-0.269,0.086,0.141,0.629,0.778,0.573,-0.267,1.102,0.43,0.903,0.268,-0.087,-18.96,-9.25,0
1.749,0.212,0.977,-0.295,0.031,0.173,0.307,0.952,0.601,-0.206,1.119,0.23,0.973,0.295,-0.031,-19.83,-9.87,0
1.765,0.084,0.996,-0.299,-0.007,0.198,0.122,0.993,0.366,-0.04,1.135,0.101,0.995,0.299,0.008,-19.97,-9.98,0
1.783,-0.112,0.994,-0.293,-0.066,0.217,-0.084,0.996,0.301,0.056,1.154,-0.095,0.996,0.293,0.066,-20.0,-10.0,0
1.801,-0.295,0.956,-0.22,-0.096,0.236,-0.257,0.966,0.221,0.094,1.172,-0.277,0.961,0.22,0.096,-17.0,-7.0,0
1.809,-0.476,0.879,-0.033,-0.023,0.243,-0.434,0.901,0.033,0.023,1.179,-0.46,0.888,0.033,0.023,-4.06,0.03,0
1.802,-0.522,0.853,0.192,0.149,0.236,-0.493,0.87,-0.192,-0.156,1.173,-0.507,0.862,-0.192,-0.149,11.8,12.49,0
1.787,-0.534,0.845,0.228,0.18,0.222,-0.53,0.848,-0.219,-0.15,1.158,-0.521,0.853,-0.228,-0.18,14.46,14.58,0
1.771,-0.54,0.842,0.234,0.185,0.208,-0.561,0.828,-0.204,-0.128,1.142,-0.53,0.848,-0.234,-0.185,14.91,14.93,0
1.755,-0.545,0.838,0.235,0.186,0.195,-0.588,0.809,-0.176,-0.108,1.126,-0.538,0.843,-0.235,-0.186,14.98,14.99,0
1.739,-0.55,0.835,0.235,0.186,0.185,-0.614,0.789,-0.142,-0.096,1.109,-0.546,0.838,-0.235,-0.186,15.0,15.0,0
1.723,-0.555,0.832,0.235,0.186,0.177,-0.64,0.768,-0.105,-0.092,1.093,-0.554,0.833,-0.235,-0.186,15.0,15.0,0
1.71,-0.623,0.782,0.22,0.204,0.174,-0.721,0.693,-0.056,-0.114,1.08,-0.624,0.781,-0.22,-0.204,15.0,15.0,0
1.696,-0.653,0.758,0.213,0.211,0.173,-0.771,0.637,-0.02,-0.133,1.066,-0.657,0.754,-0.213,-0.211,15.0,15.0,0
1.681,-0.658,0.753,0.213,0.211,0.174,-0.803,0.596,0.005,-0.15,1.051,-0.666,0.746,-0.213,-0.211,15.0,15.0,0
1.667,-0.664,0.748,0.213,0.211,0.177,-0.835,0.55,0.026,-0.17,1.037,-0.675,0.738,-0.213,-0.211,15.0,15.0,0
1.652,-0.67,0.743,0.213,0.211,0.182,-0.867,0.499,0.043,-0.193,1.023,-0.684,0.729,-0.213,-0.211,15.0,15.0,0
1.638,-0.676,0.737,0.213,0.211,0.189,-0.896,0.443,0.06,-0.217,1.009,-0.694,0.72,-0.213,-0.211,15.0,15.0,0
1.624,-0.681,0.732,0.213,0.211,0.199,-0.923,0.386,0.074,-0.243,0.995,-0.703,0.711,-0.213,-0.211,15.0,15.0,0
1.61,-0.687,0.726,0.213,0.211,0.21,-0.945,0.327,0.036,-0.259,0.982,-0.713,0.701,-0.213,-0.211,15.0,15.0,0
1.596,-0.642,0.767,0.227,0.196,0.211,-0.948,0.317,-0.185,-0.215,0.968,-0.673,0.739,-0.227,-0.196,18.69,11.31,0
1.582,-0.503,0.864,0.258,0.153,0.206,-0.913,0.408,-0.253,-0.157,0.954,-0.542,0.84,-0.274,-0.138,19.78,10.22,0
1.567,-0.445,0.895,0.268,0.134,0.199,-0.915,0.404,-0.268,-0.134,0.938,-0.488,0.873,-0.296,-0.092,16.27,13.73,0
1.55,-0.44,0.898,0.27,0.131,0.191,-0.943,0.334,-0.282,-0.104,0.919,-0.483,0.876,-0.298,-0.063,15.21,14.79,0
1.533,-0.441,0.897,0.27,0.13,0.182,-0.968,0.251,-0.286,-0.065,0.901,-0.484,0.875,-0.291,-0.041,15.04,14.96,0
1.516,-0.446,0.895,0.27,0.13,0.174,-0.987,0.164,-0.278,-0.028,0.883,-0.486,0.874,-0.279,-0.025,15.01,14.99,0
1.499,-0.451,0.893,0.27,0.13,0.165,-0.997,0.077,-0.26,0.001,0.866,-0.488,0.873,-0.266,-0.013,15.0,15.0,0
1.481,-0.456,0.89,0.27,0.13,0.157,-1.0,-0.008,-0.237,0.023,0.849,-0.49,0.872,-0.251,-0.004,15.0,15.0,0
1.464,-0.461,0.887,0.27,0.13,0.149,-0.996,-0.088,-0.211,0.039,0.834,-0.49,0.872,-0.237,-0.001,15.0,15.0,0
1.447,-0.467,0.885,0.27,0.13,0.138,-0.99,-0.139,-0.154,0.177,0.818,-0.497,0.868,-0.268,-0.108,15.0,15.0,0
1.432,-0.442,0.897,0.275,0.12,0.127,-0.989,-0.147,-0.156,0.094,0.802,-0.476,0.879,-0.28,-0.068,15.0,15.0,0
1.42,-0.327,0.945,0.288,0.083,0.125,-0.998,-0.055,-0.169,0.075,0.79,-0.365,0.931,-0.291,-0.025,15.0,15.0,0
